[-0.000137011, 0] ; ([-0.00349066, -0.00349066] ; [0, 0] ; [-0.776672, -0.776672] ; [0, 0])
[0.138203, 0.13972] ; ([-0.142642, -0.141009] ; [-1.07304, -1.06964] ; [-0.293216, -0.284494] ; [5.73264, 5.75657])
[0.13972, 0.141235] ; ([-0.14426, -0.142634] ; [-1.06972, -1.06622] ; [-0.284502, -0.275762] ; [5.75534, 5.77825])
[0.141235, 0.142746] ; ([-0.145869, -0.144251] ; [-1.0663, -1.06271] ; [-0.27577, -0.267012] ; [5.77701, 5.79889])
[0.142746, 0.144256] ; ([-0.147471, -0.14586] ; [-1.06279, -1.0591] ; [-0.26702, -0.258243] ; [5.79765, 5.81851])
[0.144256, 0.145764] ; ([-0.149065, -0.147462] ; [-1.05918, -1.0554] ; [-0.258252, -0.249456] ; [5.81727, 5.83712])
[0.145764, 0.147271] ; ([-0.150653, -0.149056] ; [-1.05549, -1.0516] ; [-0.249465, -0.240648] ; [5.83586, 5.85471])
[0.147271, 0.148776] ; ([-0.152234, -0.150643] ; [-1.0517, -1.04772] ; [-0.240658, -0.23182] ; [5.85344, 5.87129])
[0.148776, 0.150282] ; ([-0.153808, -0.152224] ; [-1.04782, -1.04375] ; [-0.23183, -0.22297] ; [5.87002, 5.88687])
[0.150282, 0.151787] ; ([-0.155377, -0.153798] ; [-1.04385, -1.03969] ; [-0.22298, -0.214098] ; [5.88559, 5.90145])
[0.151787, 0.153293] ; ([-0.156939, -0.155366] ; [-1.0398, -1.03555] ; [-0.214109, -0.205202] ; [5.90015, 5.91503])
[0.153293, 0.154799] ; ([-0.158496, -0.156929] ; [-1.03566, -1.03133] ; [-0.205214, -0.196283] ; [5.91372, 5.92761])
[0.154799, 0.156307] ; ([-0.160048, -0.158485] ; [-1.03145, -1.02703] ; [-0.196295, -0.18734] ; [5.92629, 5.9392])
[0.156307, 0.157816] ; ([-0.161595, -0.160037] ; [-1.02715, -1.02265] ; [-0.187352, -0.178371] ; [5.93787, 5.9498])
[0.157816, 0.159326] ; ([-0.163136, -0.161583] ; [-1.02278, -1.0182] ; [-0.178384, -0.169376] ; [5.94845, 5.95939])
[0.159326, 0.160839] ; ([-0.164674, -0.163125] ; [-1.01833, -1.01367] ; [-0.169389, -0.160354] ; [5.95803, 5.96799])
[0.160839, 0.162355] ; ([-0.166207, -0.164662] ; [-1.01381, -1.00908] ; [-0.160368, -0.151304] ; [5.96662, 5.9756])
[0.162355, 0.163873] ; ([-0.167736, -0.166194] ; [-1.00922, -1.00441] ; [-0.151319, -0.142226] ; [5.97421, 5.9822])
[0.163873, 0.165395] ; ([-0.169261, -0.167723] ; [-1.00457, -0.999684] ; [-0.142241, -0.133118] ; [5.98079, 5.9878])
[0.165395, 0.166921] ; ([-0.170783, -0.169248] ; [-0.999844, -0.994893] ; [-0.133134, -0.12398] ; [5.98637, 5.99238])
[0.166921, 0.16845] ; ([-0.172301, -0.17077] ; [-0.995059, -0.990042] ; [-0.123997, -0.114812] ; [5.99095, 5.99596])
[0.16845, 0.169985] ; ([-0.173817, -0.172288] ; [-0.990214, -0.985133] ; [-0.114828, -0.105611] ; [5.9945, 5.99852])
